fips,state,shelter_in_place
01,Alabama,2020-04-04
02,Alaska,2020-03-28
04,Arizona,2020-03-31
05,Arkansas,NA
06,California,2020-03-19
08,Colorado,2020-03-26
09,Connecticut,2020-03-23
10,Delaware,2020-03-24
12,Florida,2020-04-03
13,Georgia,2020-04-03
15,Hawaii,2020-03-25
16,Idaho,2020-03-25
17,Illinois,2020-03-21
18,Indiana,2020-03-24
19,Iowa,NA
20,Kansas,2020-03-30
21,Kentucky,2020-03-26
22,Louisiana,2020-03-23
23,Maine,2020-04-02
24,Maryland,2020-03-30
25,Massachusetts,2020-03-24
26,Michigan,2020-03-24
27,Minnesota,2020-03-27
28,Mississippi,2020-04-03
29,Missouri,2020-04-06
30,Montana,2020-03-28
31,Nebraska,NA
32,Nevada,2020-04-01
33,New Hampshire,2020-03-27
34,New Jersey,2020-03-21
35,New Mexico,2020-03-24
36,New York,2020-03-22
37,North Carolina,2020-03-30
38,North Dakota,NA
39,Ohio,2020-03-23
40,Oklahoma,NA
41,Oregon,2020-03-23
42,Pennsylvania,2020-04-01
44,Rhode Island,2020-03-28
45,South Carolina,2020-04-07
46,South Dakota,NA
47,Tennessee,2020-03-31
48,Texas,2020-04-02
49,Utah,NA
50,Vermont,2020-03-25
51,Virginia,2020-03-30
53,Washington,2020-03-23
54,West Virginia,2020-03-24
55,Wisconsin,2020-03-25
56,Wyoming,NA
